date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:35:59	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f77c9f3-239b%22	https://anisurarzu.github.io/robots.txt		(from )
06:35:59	5363/5363	---M-Z	200	added ('OK')	text/html	etag:W/%2260e45221-14f3%22	https://anisurarzu.github.io/Food-Village/	C:/blog/Coding/anisurarzu.github.io/Food-Village/index.html	(from )
06:36:00	69165/69165	---M--	200	added ('OK')	image/png	etag:%2260e45221-10e2d%22	https://anisurarzu.github.io/Food-Village/images/logo.png	C:/blog/Coding/anisurarzu.github.io/Food-Village/images/logo.png	(from https://anisurarzu.github.io/Food-Village/)
06:36:00	4561/4561	---M-Z	200	added ('OK')	text/css	etag:W/%2260e45221-11d1%22	https://anisurarzu.github.io/Food-Village/style.css	C:/blog/Coding/anisurarzu.github.io/Food-Village/style.css	(from https://anisurarzu.github.io/Food-Village/)
06:36:02	89154/89154	---M--	200	added ('OK')	image/png	etag:%2260e45221-15c42%22	https://anisurarzu.github.io/Food-Village/images/delivery-boy.png	C:/blog/Coding/anisurarzu.github.io/Food-Village/images/delivery-boy.png	(from https://anisurarzu.github.io/Food-Village/)
06:36:06	437577/437577	---M--	200	added ('OK')	image/jpeg	etag:%2260e45221-6ad49%22	https://anisurarzu.github.io/Food-Village/images/Project%20Cover2.jpg	C:/blog/Coding/anisurarzu.github.io/Food-Village/images/Project%20Cover2.jpg	(from https://anisurarzu.github.io/Food-Village/)
06:36:07	15536/15536	---M--	200	added ('OK')	image/png	etag:%2260e45221-3cb0%22	https://anisurarzu.github.io/Food-Village/images/scoial-icon/facebook.png	C:/blog/Coding/anisurarzu.github.io/Food-Village/images/scoial-icon/facebook.png	(from https://anisurarzu.github.io/Food-Village/)
06:36:08	60678/60678	---M--	200	added ('OK')	image/png	etag:%2260e45221-ed06%22	https://anisurarzu.github.io/Food-Village/images/scoial-icon/instragram.png	C:/blog/Coding/anisurarzu.github.io/Food-Village/images/scoial-icon/instragram.png	(from https://anisurarzu.github.io/Food-Village/)
06:36:09	611145/611145	---M--	200	added ('OK')	image/png	etag:%2260e45221-95349%22	https://anisurarzu.github.io/Food-Village/images/Project%20Cover.png	C:/blog/Coding/anisurarzu.github.io/Food-Village/images/Project%20Cover.png	(from https://anisurarzu.github.io/Food-Village/)
06:36:09	26071/26071	---M--	200	added ('OK')	image/png	etag:%2260e45221-65d7%22	https://anisurarzu.github.io/Food-Village/images/scoial-icon/twiter.png	C:/blog/Coding/anisurarzu.github.io/Food-Village/images/scoial-icon/twiter.png	(from https://anisurarzu.github.io/Food-Village/)
06:36:09	40104/40104	---M--	200	added ('OK')	image/png	etag:%2260e45221-9ca8%22	https://anisurarzu.github.io/Food-Village/images/about-us-bg.png	C:/blog/Coding/anisurarzu.github.io/Food-Village/images/about-us-bg.png	(from https://anisurarzu.github.io/Food-Village/style.css)
06:36:15	759421/759421	---M--	200	added ('OK')	image/jpeg	etag:%2260e45221-b967d%22	https://anisurarzu.github.io/Food-Village/images/Project%20Cover1.jpg	C:/blog/Coding/anisurarzu.github.io/Food-Village/images/Project%20Cover1.jpg	(from https://anisurarzu.github.io/Food-Village/)
06:36:19	4209868/4209868	---M--	200	added ('OK')	image/png	etag:%2260e45221-403ccc%22	https://anisurarzu.github.io/Food-Village/images/childWithFood.png	C:/blog/Coding/anisurarzu.github.io/Food-Village/images/childWithFood.png	(from https://anisurarzu.github.io/Food-Village/)
